about1,about2,about_family,age2,birth1,birth2,birth3,birth4,body1,body2,brothers,caste1,caste2,city2,college,complexion1,complexion2,created_for,degree,details,drinking1,drinking2,eating1,eating2,education2,employed1,employed2,family_type1,family_type2,father,fields,gotra,have_children,height1,height2,horoscope,income1,income2,last_login,living,manglik1,manglik2,marital_status1,marital_status2,mother,mother1,mother2,nakshatra,occupation,profileID,raasi,religion1,religion2,sisters,smoking1,smoking2,special1,special2,status1,status2,subcaste,url,values1,values2,weight1,weight2
,,,,15 Apr 1958,11:17:00,India,Muzaffarpur,,,,Sunni,,,,,,Self,Others,"55 yrs, 5ft 2in,<br />
					
					
													
						Sunni,
					
					
													
						Muslim, 
						
					
																							
					
					
					
				
					
							Others, 				
					
						  	
					
					Health Care, <br />
					 
					
					Surat,
					 India",,,,,,,,,,,,,No,5ft 2in,,,INR 3 lakhs to 4 lakhs,,"
						22 Oct 2013",,,,Never Married,,,,,,Health Care,barm943008,,Muslim,,,,,,,,,,,,,,
,,My Parents religious.,28 to 42,05 Mar 1962,,India,Rest of Kerala,Athletic,Doesn't Matter,,,,,,Fair ,Fair,Self,B.Com (Commerce),"51 yrs, 6ft,<br />
					
					
					
					
													
						Muslim, 
						
					
						
						Malayalam ,<br />
																							
					
					
					
				
					
							B.Com (Commerce), 				
					
						  	
					
					Finance and Accounts, <br />
					 
					
					India",No,,Doesn't Matter,,Other School/ Graduation,Private Sector,,Joint family both parents,Doesn't Matter,,,,No,6ft,5ft to 6ft,,US$ Under 50 thousand,,"
						10 Nov 2013",,No,,Never Married,Doesn't Matter,,Malayalam,Doesn't Matter,,Finance and Accounts,hassan_123_in,,Muslim,,,No,,Medically challenged condition of one or more vital organs,Doesn't Matter,Middle Class,Doesn't Matter,,,Liberal,Liberal,90 Kgs,
,"should be independent, rich, homley,goodlooking, sesual  open minded, liberal,  caring adjustable, exiting, and moreover kind hearted,wellmanneredandfunlover",,40 to 50,21 Jul 1961,,India,Rest of Bihar,Athletic,Doesn't Matter,,Brahmin,,Others,,Fair ,Wheatish,Self,BL/LLB/BGL (Law),"52 yrs, 5ft 11in,<br />
					
					
													
						Brahmin,
					
					
													
						Hindu, 
						
					
						
						Hindi ,<br />
																							
					
					
					
				
					
							BL/LLB/BGL (Law), 				
					
						  	
					
					Legal, <br />
					 
					
					Mumbai,
					 India",Occasionally,Occasionally,Vegetarian,Vegetarian,,,,,,,,,No,5ft 11in,5ft 2in to 5ft 10in,,Unspecified Don't wish to specify,,"
						02 Nov 2013",,Do Not Know,Do Not Know,Divorced,Divorced,,Hindi,Hindi,,Legal,mumm573626,,Hindu,,,Moderate,Moderate,None,Doesn't Matter,Doesn't Matter,,,,,Doesn't Matter,73 Kgs,55 to 65 [Kgs]
,,,,06 Oct 1956,05:10:00,India,Mumbai,,,,Catholic,,,,,,Self,Other School/ Graduation,"57 yrs, 5ft 10in,<br />
					
					
													
						Catholic,
					
					
													
						Christian, 
						
					
																							
					
					
					
				
					
							Other School/ Graduation, 				
					
						  	
					
					Education/ Training, <br />
					 
					
					Mumbai,
					 India",,,,,,,,,,,,,No,5ft 10in,,,INR 1 lakh to 2 lakhs,,"
						01 Nov 2013",,,,Never Married,,,,,,Education/ Training,mumm649306,,Christian,,,,,,,,,,,,,,
,,my aprents r form india ahemdabad gujrat sie after migration they shited in pakistan my birth is of karachi pakistan only my mothe rlives with me,30 to 35,29 Nov 1959,05:00:00,Pakistan,Others,Average,Average,,,,Ahmedabad,,Fair ,Doesn't Matter,Self,B.Com (Commerce),"53 yrs, 5ft 10in,<br />
					
					
					
					
													
						Muslim, 
						
					
						
						Others ,<br />
																							
					
					
					
				
					
							B.Com (Commerce), 				
					
						  	
					
					Business Owner / Entrepreneur, <br />
					 
					
					Pakistan",No,Occasionally,Non Vegetarian,Doesn't Matter,B.A. (Arts),,,Joint family only mother,Doesn't Matter,,,,No,5ft 10in,5ft to 5ft 2in,,Unspecified Don't wish to specify,,"
						10 Nov 2013",,,,Married,Widowed,,Others,Doesn't Matter,,Business Owner / Entrepreneur,shah2,,Muslim,,,No,No,None,Doesn't Matter,Upper Middle Class,Middle Class,,,Others,Doesn't Matter,48 to 50 [Kgs],
,,,40 to 50,23 Mar 1959,01:20:00,India,,Average,Slim,1 brother ,Nair,Nair,,Nagpur University,Fair ,Fair,Self,BE B.Tech (Engineering),"54 yrs, 6ft,<br />
					
					
													
						Nair,
					
					
													
						Hindu, 
						
					
						
						Malayalam ,<br />
																							
					
					
					
				
					
							BE B.Tech (Engineering), 				
					
						  	
					
					Others, <br />
					 
					
					India",Occasionally,No,Vegetarian,Doesn't Matter,"B.A. (Arts),B.Com (Commerce),B.Sc (Science)",MNC,Doesn't Matter,Nuclear,Doesn't Matter,Passed,Mechanical,,Yes,6ft,5ft 4in to 5ft 7in,,INR 25 lakhs to 30 lakhs,Doesn't Matter,"
						02 Mar 2013",Yes,Do Not Know,No,Divorced,Doesn't Matter,Housewife,Malayalam,Malayalam,,Others,SMM1448808,,Hindu,Hindu,0 sisters ,No,No,None,None,High Class,High Class,,,Moderate,Moderate,76 Kgs,48 to 60 [Kgs]
,,ek; Qknj bt fjVk;bZ vW&gt;m ek; enj bt gkml okbZi ckdh ukgh dkgh ey qyk dk; ikfgts,39 to 45,23 Nov 1959,09:14:00,India,Ahmednagar,Average,Average,,,,Mumbai,,Fair ,Dark,Self,10th,"53 yrs, 5ft 5in,<br />
					
					
					
					
													
						Hindu, 
						
					
						
						Marathi ,<br />
																							
					
					
					
				
					
							10th, 				
					
						  	
					
					Finance and Accounts, <br />
					 
					
					India",No,No,Non Vegetarian,Doesn't Matter,Doesn't Matter,Private Sector,,Joint family both parents,Doesn't Matter,,,,No,5ft 5in,5ft to 5ft 2in,,INR 50 thousand to  1 lakh,,"
						09 Nov 2013",,Do Not Know,Do Not Know,Divorced,Divorced,,Marathi,Doesn't Matter,,Finance and Accounts,babasaheb,,Hindu,,,No,No,None,None,Middle Class,Doesn't Matter,Deshastha,,Liberal,Doesn't Matter,70 Kgs,
"My name is Muthukumar, residing at Bangalore, India. I am male aged 55 and working as a Administration Manager in a private company. I have worked in Dubai, Bangkok, Singapore and Australia. I am an honest loyal and fun loving man not an extreme in any direction. Been told I am easy going, like a laugh sociable person.",,,,05 Apr 1958,,India,,,,,Brahmin - Iyer,,,,,,Self,M.Com. (Commerce),"55 yrs, 5ft 5in,<br />
					
					
													
						Brahmin - Iyer,
					
					
													
						Hindu, 
						
					
						
						Tamil ,<br />
																							
					
					
					
				
					
							M.Com. (Commerce), 				
					
						  	
					
					Admin/Secretarial, <br />
					 
					
					Bangalore,
					 India",,,,,,,,,,,,,Yes,5ft 5in,,,INR 25 lakhs to 30 lakhs,,"
						15 Sep 2013",,Do Not Know,,Divorced,,,Tamil,,,Admin/Secretarial,banm1293149,,Hindu,,,,,,,,,,,,,,
,,,,06 Apr 1956,,India,,,,,Kayastha,,,,,,Friend,M.Sc. (Science),"57 yrs, 5ft 4in,<br />
					
					
													
						Kayastha,
					
					
													
						Hindu, 
						
					
						
						Hindi ,<br />
																							
					
					
					
				
					
							M.Sc. (Science), 				
					
						  	
					
					Others, <br />
					 
					
					Bathinda,
					 India",,,,,,,,,,,,,Yes,5ft 4in,,,Unspecified Don't wish to specify,,"
						04 Nov 2013",,Do Not Know,,Widowed,,,Hindi,,,Others,noim287392,,Hindu,,,,,,,,,,,,,,
,,,30 to 40,20 Aug 1961,07:02:00,India,Tiruchirapali,Average,Average,,Naidu,Naidu,,,Very Fair ,Doesn't Matter,Self,BE B.Tech (Engineering),"52 yrs, 5ft 11in,<br />
					
					
													
						Naidu,
					
					
													
						Hindu, 
						
					
						
						Tamil ,<br />
																							
					
					
					
				
					
							BE B.Tech (Engineering), 				
					
						  	
					
					Manufacturing/ Engineering/ R&D;, <br />
					 
					
					Tanjore,
					 India",Occasionally,No,Non Vegetarian,Doesn't Matter,12th,,,Doesn't Matter,,,,,Yes,5ft 11in,5ft 4in to 6ft,No,Unspecified Don't wish to specify,,"
						15 Aug 2013",,Do Not Know,Do Not Know,Divorced,Divorced,,Tamil,Tamil,,Manufacturing/ Engineering/ R&D;,tirm254248,Scorpio,Hindu,Hindu,,No,No,None,None,Upper Middle Class,,,,,Moderate,70 Kgs,55 to 65 [Kgs]
,,,,23 Jun 1960,,India,,,,,Sunni,,,,,,Self,B.Com (Commerce),"53 yrs, 5ft 5in,<br />
					
					
													
						Sunni,
					
					
													
						Muslim, 
						
					
																							
					
					
					
				
					
							B.Com (Commerce), 				
					
						  	
					
					Business Owner / Entrepreneur, <br />
					 
					
					Kochi,
					 India",,,,,,,,,,,,,No,5ft 5in,,,Unspecified Don't wish to specify,,"
						03 Nov 2013",,,,Married,,,,,,Business Owner / Entrepreneur,kocm352682,,Muslim,,,,,,,,,,,,,,
,,,,01 Jun 1957,,India,,,,,Billava,,,,,,Self,CA (Chartered Accountant),"56 yrs, 5ft 8in,<br />
					
					
													
						Billava,
					
					
													
						Hindu, 
						
					
						
						Others ,<br />
																							
					
					
					
				
					
							CA (Chartered Accountant), 				
					
						  	
					
					Health Care, <br />
					 
					
					Mumbai,
					 India",,,,,,,,,,,,,Yes,5ft 8in,,,Unspecified Don't wish to specify,,"
						04 Nov 2013",,Do Not Know,,Divorced,,,Others,,,Health Care,kohm265145,,Hindu,,,,,,,,,,,,,,
,,,,05 Mar 1962,,India,,,,,Others,,,,,,Self,B.Sc (Science),"51 yrs, 5ft 6in,<br />
					
					
													
						Others,
					
					
													
						Christian, 
						
					
																							
					
					
					
				
					
							B.Sc (Science), 				
					
						  	
					
					Admin/Secretarial, <br />
					 
					
					Rest of Kerala,
					 India",,,,,,,,,,,,,No,5ft 6in,,,Unspecified Don't wish to specify,,"
						01 Nov 2013",,,,Never Married,,,,,,Admin/Secretarial,kerm555768,,Christian,,,,,,,,,Christian - Syrian,,,,,
,She shoud not have any responsibility and should be housewife and not working,,35 to 45,13 Nov 1958,,India,,Doesn't Matter,,,,,Mumbai,,Wheatish,,Self,B.A. (Arts),"54 yrs, 5ft 3in,<br />
					
					
					
					
													
						Hindu, 
						
					
						
						Tamil ,<br />
																							
					
					
					
				
					
							B.A. (Arts), 				
					
						  	
					
					Admin/Secretarial, <br />
					 
					
					Vadodara,
					 India",No,,Doesn't Matter,,Doesn't Matter,,,Doesn't Matter,,,,,No,5ft 3in,5ft to 5ft 2in,,Unspecified Don't wish to specify,,"
						03 Nov 2013",,Do Not Know,Do Not Know,Widowed,Doesn't Matter,,Tamil,Doesn't Matter,,Admin/Secretarial,barm334213,,Hindu,Hindu,,No,,,None,Doesn't Matter,,,,,Doesn't Matter,,
,,,21 to 26,30 Jun 1954,04:30:00,India,Delhi,Athletic,Average,0 brothers ,Rajput,,,Mudra Institute of Communications Ahmedabad,Very Fair ,Very Fair,Son,ME/M.Tech/MS (Engg/Sciences),"59 yrs, 5ft 11in,<br />
					
					
													
						Rajput,
					
					
													
						Hindu, 
						
					
						
						Hindi ,<br />
																							
					
					
					
				
					
							ME/M.Tech/MS (Engg/Sciences), 				
					
						  	
					
					Telecom/ ISP, <br />
					 
					
					Delhi,
					 India",No,No,Non Vegetarian,Doesn't Matter,M.Tech,MNC,,Nuclear,Doesn't Matter,Retired,Instrumentation,,No,5ft 11in,5ft 4in to 5ft 10in,,US$ $150k to 200k,,"
						17 Sep 2013",,No,No,Never Married,Never Married,Housewife,Hindi,Hindi,,Telecom/ ISP,delm1275180,,Hindu,Hindu,2 sisters ,No,No,None,None,Upper Middle Class,Doesn't Matter,,,Moderate,Moderate,82 Kgs,50 to 60 [Kgs]
,,,,02 Nov 1961,,India,,,,,Khatri,,,,,,Friend,BL/LLB/BGL (Law),"52 yrs, 5ft 8in,<br />
					
					
													
						Khatri,
					
					
													
						Hindu, 
						
					
						
						Punjabi ,<br />
																							
					
					
					
				
					
							BL/LLB/BGL (Law), 				
					
						  	
					
					Legal, <br />
					 
					
					Chandigarh,
					 India",,,,,,,,,,,,,No,5ft 8in,,,Unspecified Don't wish to specify,,"
						29 Oct 2013",,Do Not Know,,Never Married,,,Punjabi,,,Legal,cham791372,,Hindu,,,,,,,,,,,,,,
,,,,31 May 1957,07:42:00,India,Kancheepuram,,,,Brahmin,,,,,,Self,B.Sc (Science),"56 yrs, 5ft 4in,<br />
					
					
													
						Brahmin,
					
					
													
						Hindu, 
						
					
						
						Hindi ,<br />
																							
					
					
					
				
					
							B.Sc (Science), 				
					
						  	
					
					Marketing and Communications, <br />
					 
					
					Chennai,
					 India",,,,,,,,,,,,,No,5ft 4in,,No,Unspecified Don't wish to specify,,"
						06 Nov 2013",,Do Not Know,,Widowed,,,Hindi,,,Marketing and Communications,chem149760,,Hindu,,,,,,,,,,,,,,
,,,55 to 75,22 Feb 1944,,India,Amritsar,Slim,Doesn't Matter,0 brothers ,Arora,,,,Wheatish ,Doesn't Matter,Self,10th,"69 yrs, 5ft 9in,<br />
					
					
													
						Arora,
					
					
													
						Hindu, 
						
					
						
						Hindi ,<br />
																							
					
					
					
				
					
							10th, 				
					
						  	
					
					Non Working, <br />
					 
					
					Switzerland",No,Doesn't Matter,Vegetarian,Vegetarian,Doesn't Matter,Others,,Others,Doesn't Matter,Passed,,,No,5ft 9in,Doesn't Matter,,US$ $25k to 40k,,"
						10 Nov 2013",,Do Not Know,Doesn't Matter,Divorced,Doesn't Matter,Passed,Hindi,Doesn't Matter,,Non Working,kumar_ch_in,,Hindu,,0 sisters ,No,No,,Doesn't Matter,Upper Middle Class,Doesn't Matter,,,,Doesn't Matter,60 Kgs,
,"she is good parsnaly, homemaker,
good nature , only sindhi familly,educated,believe in positive thinking, expert in cooking like sindhi , south indian panjabi etc....
",,38 to 48,01 Apr 1961,00:30:00,India,Indore,Athletic,Doesn't Matter,,Sindhi,Sindhi,,,Whetish Medium ,Doesn't Matter,Self,B.Com (Commerce),"52 yrs, 5ft 5in,<br />
					
					
													
						Sindhi,
					
					
													
						Hindu, 
						
					
						
						Sindhi ,<br />
																							
					
					
					
				
					
							B.Com (Commerce), 				
					
						  	
					
					Business Owner / Entrepreneur, <br />
					 
					
					India",No,No,Non Vegetarian,Doesn't Matter,Doesn't Matter,,,Joint family only mother,,,,,No,5ft 5in,4ft 10in to 5ft 5in,No,INR 7 lakhs to 10 lakhs,,"
						05 Nov 2013",,Do Not Know,Do Not Know,Widowed,Doesn't Matter,,Sindhi,Sindhi,,Business Owner / Entrepreneur,indm168184,Scorpio,Hindu,Hindu,,No,No,None,None,Upper Middle Class,Doesn't Matter,,,Modern,Doesn't Matter,94 Kgs,
,,,,07 May 1947,04:30:00,India,Hyderabad,,,,Telugu,,,,,,Self,Masters,"66 yrs, 5ft 11in,<br />
					
					
													
						Telugu,
					
					
													
						Hindu, 
						
					
						
						Hindi ,<br />
																							
					
					
					
				
					
							Masters, 				
					
						  	
					
					Business Owner / Entrepreneur, <br />
					 
					
					Hyderabad,
					 India",,,,,,,,,,,,,No,5ft 11in,,No,Unspecified Don't wish to specify,,"
						04 Nov 2013",,Do Not Know,,Widowed,,,Hindi,,,Business Owner / Entrepreneur,hydm220477,,Hindu,,,,,,,,,,,,,,
,,,40 to 45,07 Oct 1954,,,,,,,Arya Vysya,Arya Vysya,,Pondicherry University,Whetish Medium ,,Self,B.Com (Commerce),"59 yrs, 5ft,<br />
					
					
													
						Arya Vysya,
					
					
													
						Hindu, 
						
					
						
						Telugu ,<br />
																							
					
					
					
				
					
							B.Com (Commerce), 				
					
						  	
					
					Banking, Insurance &amp; Financial Services, <br />
					 
					
					Puducherry,
					 India",No,,Vegetarian,,,Central Government,,,,,Commerce Pass,,Yes,5ft,5ft to 5ft 5in,,INR 7 lakhs to 10 lakhs,,"
						28 Apr 2013",,Do Not Know,Doesn't Matter,Widowed,Widowed,,Telugu,Tamil,,"Banking, Insurance &amp; Financial Services",SMM1543168,,Hindu,Hindu,,No,,None,,,,,,,,,
,I am Ali I am looking for good looking nice most understanding women with no responsibilites and should understand the needs of  a man and should be satisfied with what ever is given by the allmighty should be very adjusting and comfortable with me should fee one ness and ever loving.,,35 to 45,19 Aug 1960,,India,,Doesn't Matter,,,Sia,Sia,,,Doesn't Matter,,Self,LLB,"53 yrs, 5ft 11in,<br />
					
					
													
						Sia,
					
					
													
						Muslim, 
						
					
																							
					
					
					
				
					
							LLB, 				
					
						  	
					
					Legal, <br />
					 
					
					Hyderabad,
					 India",,,,,,,,Doesn't Matter,,,,,No,5ft 11in,5ft to 6ft,,Unspecified Don't wish to specify,,"
						01 Nov 2013",,Do Not Know,,Married,Widowed,,Urdu,,,Legal,hydm492308,,Muslim,Muslim,,,,,None,Upper Middle Class,,,,,Doesn't Matter,,
,,,,31 Jan 1956,07:00:00,United States of America,Vadodara,,,,Brahmin,,,,,,Self,M.Com. (Commerce),"57 yrs, 5ft 7in,<br />
					
					
													
						Brahmin,
					
					
													
						Hindu, 
						
					
						
						Gujarati ,<br />
																							
					
					
					
				
					
							M.Com. (Commerce), 				
					
						  	
					
					Business Owner / Entrepreneur, <br />
					 
					
					Massachusetts,
					 United States of America",,,,,,,,,,,,,Yes,5ft 7in,,,US$ 50 thousand to  1 lakh,,"
						29 Oct 2013",,Do Not Know,,Widowed,,,Gujarati,,,Business Owner / Entrepreneur,masm731741,,Hindu,,,,,,,,,,,,,,
,,,,04 Sep 1960,,India,,,,,Catholic,,,,,,Self,B.Com (Commerce),"53 yrs, 5ft 7in,<br />
					
					
													
						Catholic,
					
					
													
						Christian, 
						
					
																							
					
					
					
				
					
							B.Com (Commerce), 				
					
						  	
					
					Travel/ Airlines, <br />
					 
					
					Mumbai,
					 India",,,,,,,,,,,,,No,5ft 7in,,,Unspecified Don't wish to specify,,"
						30 Oct 2013",,,,Divorced,,,,,,Travel/ Airlines,mumm640670,,Christian,,,,,,,,,,,,,,
,,,,16 Oct 1957,01:30:00,India,Jalgaon,,,,,,,,,,Self,Other Post Graduation,"56 yrs, 5ft 10in,<br />
					
					
					
					
													
						Others, 
						
					
						
						Hindi ,<br />
																							
					
					
					
				
					
							Other Post Graduation, 				
					
						  	
					
					IT, <br />
					 
					
					Mumbai,
					 India",,,,,,,,,,,,,No,5ft 10in,,,Unspecified Don't wish to specify,,"
						11 Nov 2013",,,,Divorced,,,Hindi,,,IT,mumm123000,,Others,,,,,,,,,,,,,,
,,,,22 Sep 1952,11:27:00,India,Chennai,,,,Mudaliar Arcot,,,,,,Self,CA (Chartered Accountant),"61 yrs, 5ft 4in,<br />
					
					
													
						Mudaliar Arcot,
					
					
													
						Hindu, 
						
					
						
						Tamil ,<br />
																							
					
					
					
				
					
							CA (Chartered Accountant), 				
					
						  	
					
					Banking, Insurance &amp; Financial Services, <br />
					 
					
					Chennai,
					 India",,,,,,,,,,,,,No,5ft 4in,,,INR 7 lakhs to 10 lakhs,,"
						10 Oct 2013",,Do Not Know,,Never Married,,,Tamil,,,"Banking, Insurance &amp; Financial Services",chem1040741,,Hindu,,,,,,,,,,,,,,
,At this age all I expect is a lovable companion with good understanding to lead a peaceful and healthy life till end.I am a vegetarian and expect the same from the to  be companion. ,,46 to 54,02 Jul 1950,,India,,Average,,,Tamil,Brahmin - Iyer,Rest of Maharashtra,,Doesn't Matter,,Self,Intermediate,"63 yrs, 5ft 11in,<br />
					
					
													
						Tamil,
					
					
													
						Hindu, 
						
					
						
						Hindi ,<br />
																							
					
					
					
				
					
							Intermediate, 				
					
						  	
					
					Admin/Secretarial, <br />
					 
					
					Mumbai,
					 India",,,,,,,,,,,,,No,5ft 11in,5ft 5in to 5ft 8in,No,Unspecified Don't wish to specify,,"
						03 Nov 2013",,Do Not Know,Do Not Know,Never Married,Never Married,,Hindi,Tamil,,Admin/Secretarial,mumm241566,,Hindu,Hindu,,,,,,,,,,,,,
,,,45 to 55,11 Apr 1948,,Other African Countries,,Average,,2 brothers ,Patel,Patel Leva,,,Fair ,,Self,Other Diploma,"65 yrs, 5ft 8in,<br />
					
					
													
						Patel,
					
					
													
						Hindu, 
						
					
						
						Gujarati ,<br />
																							
					
					
					
				
					
							Other Diploma, 				
					
						  	
					
					Non Working, <br />
					 
					
					Others,
					 Canada",Occasionally,No,Vegetarian With Eggs,,,,,Joint family only mother,Doesn't Matter,Passed,,,No,5ft 8in,,No,Unspecified Don't wish to specify,,"
						03 Nov 2013",No,Do Not Know,Do Not Know,Widowed,Widowed,Housewife,Gujarati,Gujarati,,Non Working,othm234709,,Hindu,Hindu,2 sisters ,No,No,,,Upper Middle Class,Middle Class,,,Modern,Modern,175 Pounds,
,,,,19 Sep 1948,18:45:00,India,Nandurbar,Slim,,,Brahmin,,,,Fair ,,Self,Other Diploma,"65 yrs, 5ft 7in,<br />
					
					
													
						Brahmin,
					
					
													
						Hindu, 
						
					
						
						Marathi ,<br />
																							
					
					
					
				
					
							Other Diploma, 				
					
						  	
					
					Health Care, <br />
					 
					
					Pune,
					 India",Occasionally,,Vegetarian,,Doesn't Matter,,,Nuclear,,,,,Yes,5ft 7in,,,INR Under 50 thousand,,"
						23 Jul 2013",,Yes,Do Not Know,Widowed,Never Married,,Marathi,Hindi,,Health Care,punm932058,Pisces,Hindu,Others,,No,,None,,Middle Class,,,,Modern,,61 Kgs,
,,,,20 Jul 1960,,India,Mumbai,Average,,,Catholic,,,,Wheatish ,,Self,PG Diploma,"53 yrs, 5ft 6in,<br />
					
					
													
						Catholic,
					
					
													
						Christian, 
						
					
						
						English ,<br />
																							
					
					
					
				
					
							PG Diploma, 				
					
						  	
					
					Business Owner / Entrepreneur, <br />
					 
					
					Mumbai,
					 India",No,,Vegetarian,,,Others,,Others,,,,,Yes,5ft 6in,,,INR 1 lakh to 2 lakhs,,"
						03 Nov 2013",,,,Annulled,,,English,,,Business Owner / Entrepreneur,mumm191537,,Christian,,,No,,None,,Middle Class,,,,Moderate,,76 Kgs,
,,,,11 Jan 1962,,India,,,,,Brahmin - Bengali,,,,,,Self,BE B.Tech (Engineering),"51 yrs, 5ft 6in,<br />
					
					
													
						Brahmin - Bengali,
					
					
													
						Hindu, 
						
					
						
						Bengali ,<br />
																							
					
					
					
				
					
							BE B.Tech (Engineering), 				
					
						  	
					
					IT, <br />
					 
					
					Noida,
					 India",,,,,,,,,,,,,Yes,5ft 6in,,,Unspecified Don't wish to specify,,"
						27 Oct 2013",,Do Not Know,,Widowed,,,Bengali,,,IT,noim794340,,Hindu,,,,,,,,,,,,,,
,,Will tell you later,37 to 47,24 Aug 1958,11:35:00,India,,Average,Average,,Sunni,,Rest of Gujarat,,Very Fair ,Fair,Self,Others,"55 yrs, 5ft 4in,<br />
					
					
													
						Sunni,
					
					
													
						Muslim, 
						
					
						
						Kutchi ,<br />
																							
					
					
					
				
					
							Others, 				
					
						  	
					
					Business Owner / Entrepreneur, <br />
					 
					
					India",No,No,Non Vegetarian,Non Vegetarian,Doesn't Matter,,,Others,Doesn't Matter,,,,No,5ft 4in,4ft 7in to 5ft 7in,,INR 3 lakhs to 4 lakhs,,"
						05 Nov 2013",,Do Not Know,,Never Married,Never Married,,Kutchi,Doesn't Matter,,Business Owner / Entrepreneur,k_memon_in,,Muslim,Muslim,,No,No,None,None,High Class,Doesn't Matter,Muslim - Memon,,Moderate,Doesn't Matter,64 Kgs,
,,,35 to 46,22 Aug 1957,,,,Heavy,,,,,,,Fair ,,Self,Arts/ Graphic Designing,"56 yrs, 6ft,<br />
					
					
					
					
													
						Others, 
						
					
						
						Kutchi ,<br />
																							
					
					
					
				
					
							Arts/ Graphic Designing, 				
					
						  	
					
					Marketing and Communications, <br />
					 
					
					Denver,
					 United States of America",No,,Non Vegetarian,,,Others,,,,,,,Yes,6ft,4ft 9in to 5ft 2in,,US$ Under 50 thousand,,"
						31 Jan 2013",,,,Divorced,Doesn't Matter,,Kutchi,Doesn't Matter,,Marketing and Communications,SMM1582595,,Others,,,No,,None,,,,,,,,,
,,,,14 Sep 1953,,Kenya,,,,,Shewetamber,,,,,,Self,Masters,"60 yrs, 5ft 6in,<br />
					
					
													
						Shewetamber,
					
					
													
						Jain, 
						
					
																							
					
					
					
				
					
							Masters, 				
					
						  	
					
					Business Owner / Entrepreneur, <br />
					 
					
					Others,
					 Kenya",,,,,,,,,,,,,Yes,5ft 6in,,,Unspecified Don't wish to specify,,"
						28 Oct 2013",,,,Widowed,,,,,,Business Owner / Entrepreneur,othm680725,,Jain,,,,,,,,,,,,,,
,,,,01 Nov 1946,,United Kingdom,,,,,Sikh - Jat,,,,,,Self,10th,"67 yrs, 5ft 7in,<br />
					
					
													
						Sikh - Jat,
					
					
													
						Sikh, 
						
					
						
						Hindi ,<br />
																							
					
					
					
				
					
							10th, 				
					
						  	
					
					Banking, Insurance &amp; Financial Services, <br />
					 
					
					Others,
					 United Kingdom",,,,,,,,,,,,,Yes,5ft 7in,,,Unspecified Don't wish to specify,,"
						04 Nov 2013",,,,Divorced,,,Hindi,,,"Banking, Insurance &amp; Financial Services",othm138820,,Sikh,,,,,,,,,,,,,,
,,,,23 Dec 1960,,India,Erode,Average,Doesn't Matter,,Mudaliar,,,,Wheatish ,Doesn't Matter,Self,Undergraduate,"52 yrs, 5ft 7in,<br />
					
					
													
						Mudaliar,
					
					
													
						Hindu, 
						
					
						
						Tamil ,<br />
																							
					
					
					
				
					
							Undergraduate, 				
					
						  	
					
					Banking, Insurance &amp; Financial Services, <br />
					 
					
					India",No,Doesn't Matter,Vegetarian,Doesn't Matter,Doesn't Matter,,,Joint family only mother,Doesn't Matter,,,,No,5ft 7in,4ft 6in to 5ft 8in,,EURO 4 lakhs to 5 lakhs,,"
						23 Jul 2013",,Do Not Know,,Never Married,Never Married,,Tamil,Tamil,,"Banking, Insurance &amp; Financial Services",mumm926318,,Hindu,Hindu,,No,Doesn't Matter,None,None,Upper Middle Class,Doesn't Matter,,,Liberal,Doesn't Matter,46 to 61 [Kgs],
,,,37 to 45,16 Feb 1962,,India,,Average,Doesn't Matter,,Kapu,Kapu,,,Whetish Medium ,Doesn't Matter,Friend,BE B.Tech (Engineering),"51 yrs, 5ft 7in,<br />
					
					
													
						Kapu,
					
					
													
						Hindu, 
						
					
						
						Telugu ,<br />
																							
					
					
					
				
					
							BE B.Tech (Engineering), 				
					
						  	
					
					Sales/ Business Development, <br />
					 
					
					Mumbai,
					 India",No,No,Vegetarian,Doesn't Matter,Doesn't Matter,Private Sector,,Nuclear,Doesn't Matter,,Electrical,,No,5ft 7in,5ft 2in to 5ft 6in,,Unspecified Don't wish to specify,,"
						10 Aug 2013",,Do Not Know,No,Never Married,Never Married,,Telugu,Telugu,,Sales/ Business Development,mumm300577,Taurus,Hindu,Hindu,,No,No,None,None,Upper Middle Class,Doesn't Matter,,,Modern,Doesn't Matter,,
,,,,07 Oct 1959,,India,,,,,Others,,,,,,Self,B.Arch (Architecture),"54 yrs, 5ft 8in,<br />
					
					
													
						Others,
					
					
													
						Christian, 
						
					
																							
					
					
					
				
					
							B.Arch (Architecture), 				
					
						  	
					
					Architecture &amp; Design, <br />
					 
					
					Mumbai,
					 India",,,,,,,,,,,,,No,5ft 8in,,,INR 50 lakhs and above.,,"
						14 May 2013",,,,Widowed,,,,,,Architecture &amp; Design,mumm1336074,,Christian,,,,,,,,,Christian - Born Again,,,,,
